TCK,count,mean,std,min,25%,50%,75%,max
Right-MammillaryBody,24,0.514185934332013,0.402701786252313,-0.820052954692409,0.423442757076771,0.511434391516429,0.83003581208007,0.993079479894922
Left-MammillaryBody,24,0.518150248418805,0.36002935109959,-0.431212611097055,0.229233045344966,0.631478335308938,0.790257486820438,0.989418716333755
L_Area_25,24,0.63788696154246,0.282046381322749,0.079873772116502,0.423358421231134,0.703220226689536,0.884848036498881,0.986876405954092
R_Area_25,24,0.711359383133157,0.255288417937435,0.196228822426039,0.547005630980226,0.79854848970912,0.89579599472658,0.981915795892116
R_posterior_OFC_Complex,24,0.723059221256532,0.264550689899474,-0.020961898855251,0.589992779479729,0.795471879930574,0.927217139018728,0.998194189777074
R_Entorhinal_Cortex,16,0.774162784209358,0.182448588726057,0.300180407422798,0.68584462547859,0.830039813098843,0.905230749587145,0.968145855622694
L_Area_13l,24,0.795491620176722,0.211750374590047,0.22888116467548,0.746516736468932,0.889858103332378,0.937591517360796,0.997090166234261
L_Entorhinal_Cortex,19,0.796427045405458,0.161441173325535,0.447349251660179,0.696802659821542,0.850453407266281,0.912703202231621,0.970979226289326
R_Area_s32,24,0.797487299595451,0.2268830596822,0.260653164836243,0.715995509457699,0.89432968958077,0.972471074470224,0.992464147085889
L_posterior_OFC_Complex,24,0.804236065500451,0.152082774573715,0.468279916987209,0.720988231742784,0.826850981446665,0.946515560147927,0.987578111471965
R_RetroSplenial_Complex,24,0.805542720759019,0.28951462664925,0.043297359119098,0.761912379349222,0.954687462854645,0.985742568971569,0.992966386847506
Right-Basal-nucleus_AND_Right-Lateral-nucleus,24,0.819135257894812,0.221273905623543,0.100926634348667,0.763541222554946,0.897753681566054,0.945834795337034,0.997491577938497
ctx_rh_G_cingul-Post-dorsal_AND_ctx_rh_G_cingul-Post-ventral,24,0.81914380262115,0.238215675206731,0.265507341063977,0.708387951188346,0.942915764355608,0.988308109445998,0.99840479333919
