SUBID,TCK,corr,btw,analysis,SUBID2
S038,L_RetroSplenial_Complex,0.9918937965683555,T01vsT02,AL_07,
S037,L_RetroSplenial_Complex,0.9896877735081636,T01vsT02,AL_07,
S036,L_RetroSplenial_Complex,0.8259299164595437,T01vsT02,AL_07,
S035,L_RetroSplenial_Complex,0.9546409983709407,T01vsT02,AL_07,
S034,L_RetroSplenial_Complex,0.7370615208328273,T01vsT02,AL_07,
S033,L_RetroSplenial_Complex,0.9513565343422847,T01vsT02,AL_07,
S032,L_RetroSplenial_Complex,0.9844946018980285,T01vsT02,AL_07,
S031,L_RetroSplenial_Complex,0.9290876898893109,T01vsT02,AL_07,
TOT7729F,L_RetroSplenial_Complex,0.9188710166964388,T01vsT02,AL_07,
S029,L_RetroSplenial_Complex,0.954471275804295,T01vsT02,AL_07,
S028,L_RetroSplenial_Complex,0.8603162961383377,T01vsT02,AL_07,
S027,L_RetroSplenial_Complex,0.9946646530377666,T01vsT02,AL_07,
S025,L_RetroSplenial_Complex,0.9891842621013045,T01vsT02,AL_07,
S024,L_RetroSplenial_Complex,0.9220525980844351,T01vsT02,AL_07,
S023,L_RetroSplenial_Complex,0.9921421304188008,T01vsT02,AL_07,
S022,L_RetroSplenial_Complex,0.8595975095118799,T01vsT02,AL_07,
S021,L_RetroSplenial_Complex,0.9832969514496379,T01vsT02,AL_07,
S020,L_RetroSplenial_Complex,0.9728445945600531,T01vsT02,AL_07,
S018,L_RetroSplenial_Complex,0.8714658856609129,T01vsT02,AL_07,
S017,L_RetroSplenial_Complex,0.9751454566980774,T01vsT02,AL_07,
S016,L_RetroSplenial_Complex,0.9316921163513812,T01vsT02,AL_07,
26CAMINO3920,L_RetroSplenial_Complex,0.9773183393390901,T01vsT02,AL_07,
41TPEF4693,L_RetroSplenial_Complex,0.9569019554791629,T01vsT02,AL_07,
07CAMINO6124,L_RetroSplenial_Complex,0.9529284653260695,T01vsT02,AL_07,
S038,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.993820833596636,T01vsT02,AL_07,
S037,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.966682535324147,T01vsT02,AL_07,
S036,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.8933087892135027,T01vsT02,AL_07,
S035,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9290060192319853,T01vsT02,AL_07,
S034,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.6924941202530345,T01vsT02,AL_07,
S033,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.956440524325243,T01vsT02,AL_07,
S032,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9822078363479649,T01vsT02,AL_07,
S031,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9519057864733864,T01vsT02,AL_07,
TOT7729F,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9275587185085453,T01vsT02,AL_07,
S029,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9530116852153324,T01vsT02,AL_07,
S028,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.8226408711174572,T01vsT02,AL_07,
S027,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9968779499177041,T01vsT02,AL_07,
S025,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9861645988311758,T01vsT02,AL_07,
S024,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9666062038111267,T01vsT02,AL_07,
S023,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9914558274246814,T01vsT02,AL_07,
S022,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9738218517980644,T01vsT02,AL_07,
S021,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9864386688714997,T01vsT02,AL_07,
S020,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9671834690308714,T01vsT02,AL_07,
S018,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.8889606746818013,T01vsT02,AL_07,
S017,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9669177657735719,T01vsT02,AL_07,
S016,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.913910973478276,T01vsT02,AL_07,
26CAMINO3920,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9777917836848442,T01vsT02,AL_07,
41TPEF4693,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9424589434945747,T01vsT02,AL_07,
07CAMINO6124,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,0.9555121669860857,T01vsT02,AL_07,
S038,L_Entorhinal_Cortex,0.970979226289326,T01vsT02,AL_07,
S037,L_Entorhinal_Cortex,0.8984447122943584,T01vsT02,AL_07,
S035,L_Entorhinal_Cortex,0.6681553918630506,T01vsT02,AL_07,
S034,L_Entorhinal_Cortex,0.7547143919211107,T01vsT02,AL_07,
S033,L_Entorhinal_Cortex,0.643239578719572,T01vsT02,AL_07,
S032,L_Entorhinal_Cortex,0.5226304136036608,T01vsT02,AL_07,
S031,L_Entorhinal_Cortex,0.5323736200804515,T01vsT02,AL_07,
TOT7729F,L_Entorhinal_Cortex,0.8752549083402983,T01vsT02,AL_07,
S029,L_Entorhinal_Cortex,0.7254499277800338,T01vsT02,AL_07,
S028,L_Entorhinal_Cortex,0.44734925166017864,T01vsT02,AL_07,
S025,L_Entorhinal_Cortex,0.9395621321570686,T01vsT02,AL_07,
S024,L_Entorhinal_Cortex,0.8993971700552734,T01vsT02,AL_07,
S023,L_Entorhinal_Cortex,0.954343371754776,T01vsT02,AL_07,
S022,L_Entorhinal_Cortex,0.84550608510445,T01vsT02,AL_07,
S021,L_Entorhinal_Cortex,0.9288703680092247,T01vsT02,AL_07,
S018,L_Entorhinal_Cortex,0.8499835013413413,T01vsT02,AL_07,
