SUBID,TCK,corr,btw
S038,L_RetroSplenial_Complex,0.999498538103498,AL_06vsAL_07
S037,L_RetroSplenial_Complex,0.9981795309556655,AL_06vsAL_07
S036,L_RetroSplenial_Complex,0.9981083623276535,AL_06vsAL_07
S035,L_RetroSplenial_Complex,0.9976691445709485,AL_06vsAL_07
S034,L_RetroSplenial_Complex,0.9976756819721295,AL_06vsAL_07
S033,L_RetroSplenial_Complex,0.9940852668744158,AL_06vsAL_07
S032,L_RetroSplenial_Complex,0.9993572076480145,AL_06vsAL_07
S031,L_RetroSplenial_Complex,0.9975130363740038,AL_06vsAL_07
S029,L_RetroSplenial_Complex,0.9987744889981907,AL_06vsAL_07
S028,L_RetroSplenial_Complex,0.9912359962100874,AL_06vsAL_07
S027,L_RetroSplenial_Complex,0.9998316705052578,AL_06vsAL_07
S025,L_RetroSplenial_Complex,0.9998702251367055,AL_06vsAL_07
S024,L_RetroSplenial_Complex,0.9964740844043753,AL_06vsAL_07
S023,L_RetroSplenial_Complex,0.997752053129627,AL_06vsAL_07
S022,L_RetroSplenial_Complex,0.9976557020079755,AL_06vsAL_07
S021,L_RetroSplenial_Complex,0.9991878143724894,AL_06vsAL_07
S020,L_RetroSplenial_Complex,0.998933338980057,AL_06vsAL_07
S019,L_RetroSplenial_Complex,0.9897132840954691,AL_06vsAL_07
S018,L_RetroSplenial_Complex,0.9993227382091078,AL_06vsAL_07
S017,L_RetroSplenial_Complex,0.9991336754925411,AL_06vsAL_07
S016,L_RetroSplenial_Complex,0.989407689522707,AL_06vsAL_07
S014,L_RetroSplenial_Complex,0.9980558462326631,AL_06vsAL_07
S013,L_RetroSplenial_Complex,0.999928192975982,AL_06vsAL_07
S012,L_RetroSplenial_Complex,0.9983651247281328,AL_06vsAL_07
S011,L_RetroSplenial_Complex,0.9995382905680181,AL_06vsAL_07
S010,L_RetroSplenial_Complex,0.9949377404519527,AL_06vsAL_07
S009,L_RetroSplenial_Complex,0.991865501935274,AL_06vsAL_07
S007,L_RetroSplenial_Complex,0.999152032218333,AL_06vsAL_07
S006,L_RetroSplenial_Complex,0.998639344762744,AL_06vsAL_07
S005,L_RetroSplenial_Complex,0.9974443978289003,AL_06vsAL_07
S004,L_RetroSplenial_Complex,0.9990467438182535,AL_06vsAL_07
S003,L_RetroSplenial_Complex,0.9982195059853716,AL_06vsAL_07
S001,L_RetroSplenial_Complex,0.9956685683030277,AL_06vsAL_07
44TPEF2154,L_RetroSplenial_Complex,0.9940248675290052,AL_06vsAL_07
TOT6487F,L_RetroSplenial_Complex,0.9977418570122308,AL_06vsAL_07
19TPEF6181,L_RetroSplenial_Complex,0.9923811342563437,AL_06vsAL_07
16CAMINO6983,L_RetroSplenial_Complex,0.9992271946519846,AL_06vsAL_07
TOT4670F,L_RetroSplenial_Complex,0.9998611623951489,AL_06vsAL_07
20CAMINO6226,L_RetroSplenial_Complex,0.9894211130578819,AL_06vsAL_07
TOT605M,L_RetroSplenial_Complex,0.9997391131887997,AL_06vsAL_07
42TPEF5298,L_RetroSplenial_Complex,0.9834521015727519,AL_06vsAL_07
23TPEF6185,L_RetroSplenial_Complex,0.9966616160984834,AL_06vsAL_07
40TPEF3177,L_RetroSplenial_Complex,0.9997655098646447,AL_06vsAL_07
17TPEF1567,L_RetroSplenial_Complex,0.9994935452370333,AL_06vsAL_07
21CAMINO6895,L_RetroSplenial_Complex,0.9998498698965624,AL_06vsAL_07
