SUBID,TCK,corr,btw
S038,L_Area_25,0.9949703863876075,AL_06vsAL_07
S037,L_Area_25,0.8958919150626463,AL_06vsAL_07
S036,L_Area_25,0.9309931203349071,AL_06vsAL_07
S035,L_Area_25,0.9980998239127283,AL_06vsAL_07
S034,L_Area_25,0.9907214325584404,AL_06vsAL_07
S033,L_Area_25,0.9928738811576768,AL_06vsAL_07
S032,L_Area_25,0.2474992734916598,AL_06vsAL_07
S031,L_Area_25,0.9740237104338751,AL_06vsAL_07
S029,L_Area_25,0.9940553755020058,AL_06vsAL_07
S028,L_Area_25,0.9986864577140505,AL_06vsAL_07
S027,L_Area_25,0.999415064065433,AL_06vsAL_07
S025,L_Area_25,0.9997414195758607,AL_06vsAL_07
S024,L_Area_25,0.9760293963400518,AL_06vsAL_07
S023,L_Area_25,0.9959936352905769,AL_06vsAL_07
S022,L_Area_25,0.9991202924655473,AL_06vsAL_07
S021,L_Area_25,0.998062383936499,AL_06vsAL_07
S020,L_Area_25,0.9705949434969929,AL_06vsAL_07
S019,L_Area_25,0.9862314619778421,AL_06vsAL_07
S018,L_Area_25,0.9954796846990739,AL_06vsAL_07
S017,L_Area_25,0.9789194171035075,AL_06vsAL_07
S016,L_Area_25,0.9878832587081315,AL_06vsAL_07
S014,L_Area_25,0.9985395522361742,AL_06vsAL_07
S013,L_Area_25,0.9987212977003819,AL_06vsAL_07
S012,L_Area_25,0.9918299832111521,AL_06vsAL_07
S011,L_Area_25,0.9979785147478942,AL_06vsAL_07
S010,L_Area_25,0.9996712093694483,AL_06vsAL_07
S009,L_Area_25,0.9763262262494663,AL_06vsAL_07
S007,L_Area_25,0.9947263584562251,AL_06vsAL_07
S006,L_Area_25,0.9969957855810886,AL_06vsAL_07
S005,L_Area_25,0.8571650599265451,AL_06vsAL_07
S004,L_Area_25,0.9487947729981638,AL_06vsAL_07
S003,L_Area_25,0.9946706538124465,AL_06vsAL_07
S001,L_Area_25,0.9951380235175632,AL_06vsAL_07
44TPEF2154,L_Area_25,0.982904957172884,AL_06vsAL_07
TOT6487F,L_Area_25,0.9986306997627032,AL_06vsAL_07
19TPEF6181,L_Area_25,0.9976366851773508,AL_06vsAL_07
16CAMINO6983,L_Area_25,0.9978169838096238,AL_06vsAL_07
TOT4670F,L_Area_25,0.9977388243965519,AL_06vsAL_07
20CAMINO6226,L_Area_25,0.9818141916139583,AL_06vsAL_07
TOT605M,L_Area_25,0.9250862980530066,AL_06vsAL_07
42TPEF5298,L_Area_25,0.9786287653749578,AL_06vsAL_07
23TPEF6185,L_Area_25,0.9945084463734899,AL_06vsAL_07
40TPEF3177,L_Area_25,0.9981648559341147,AL_06vsAL_07
17TPEF1567,L_Area_25,0.9760288125366493,AL_06vsAL_07
21CAMINO6895,L_Area_25,0.9863251689979942,AL_06vsAL_07
33TPEF4092,L_Area_25,0.9959081333108057,AL_06vsAL_07
TOT6003M,L_Area_25,0.9998058588152839,AL_06vsAL_07
10CAMINO3096,L_Area_25,0.9999198874399957,AL_06vsAL_07
TOT557M,L_Area_25,0.8194208372945438,AL_06vsAL_07
28TPEF6054,L_Area_25,0.9929850654409154,AL_06vsAL_07
TOT7839F,L_Area_25,0.9997514063837253,AL_06vsAL_07
27CAMINO6055,L_Area_25,0.9884354252284006,AL_06vsAL_07
03CAMINO636,L_Area_25,0.9980455027321745,AL_06vsAL_07
TOT4250F,L_Area_25,0.9904208852997102,AL_06vsAL_07
TOT7947M,L_Area_25,0.9955161711966539,AL_06vsAL_07
