SUBID,TCK,corr,btw,analysis
S038,L_Area_25,0.9472776563458503,T01vsT02,AL_07_fix
S037,L_Area_25,0.9403692780027811,T01vsT02,AL_07_fix
S036,L_Area_25,-0.13644626207189436,T01vsT02,AL_07_fix
S035,L_Area_25,0.8454241700423294,T01vsT02,AL_07_fix
S034,L_Area_25,0.650334438462227,T01vsT02,AL_07_fix
S033,L_Area_25,0.8246864810146275,T01vsT02,AL_07_fix
S031,L_Area_25,0.04281512495616399,T01vsT02,AL_07_fix
TOT7729F,L_Area_25,0.8280790793172679,T01vsT02,AL_07_fix
S029,L_Area_25,0.876941095111143,T01vsT02,AL_07_fix
S028,L_Area_25,0.3198950932802065,T01vsT02,AL_07_fix
S027,L_Area_25,0.45362675566515775,T01vsT02,AL_07_fix
S025,L_Area_25,0.18896336252772333,T01vsT02,AL_07_fix
S024,L_Area_25,0.7321540253772766,T01vsT02,AL_07_fix
S023,L_Area_25,0.9683022453969442,T01vsT02,AL_07_fix
S022,L_Area_25,0.9344473069808051,T01vsT02,AL_07_fix
S021,L_Area_25,0.8063138612473948,T01vsT02,AL_07_fix
S020,L_Area_25,0.5422978471179594,T01vsT02,AL_07_fix
S018,L_Area_25,0.8950706179669138,T01vsT02,AL_07_fix
S017,L_Area_25,0.5773542654578314,T01vsT02,AL_07_fix
S016,L_Area_25,0.3185504160021656,T01vsT02,AL_07_fix
26CAMINO3920,L_Area_25,0.6856846664159776,T01vsT02,AL_07_fix
41TPEF4693,L_Area_25,0.435233824147363,T01vsT02,AL_07_fix
07CAMINO6124,L_Area_25,0.25049673202868766,T01vsT02,AL_07_fix
S038,R_Area_25,0.5013672975333471,T01vsT02,AL_07_fix
S037,R_Area_25,0.9317240834735362,T01vsT02,AL_07_fix
S036,R_Area_25,0.6469810646313917,T01vsT02,AL_07_fix
S035,R_Area_25,0.7339718876168517,T01vsT02,AL_07_fix
S034,R_Area_25,0.41035800374346315,T01vsT02,AL_07_fix
S033,R_Area_25,0.8213138296207415,T01vsT02,AL_07_fix
S032,R_Area_25,0.9607845956136744,T01vsT02,AL_07_fix
S031,R_Area_25,0.9697130221744797,T01vsT02,AL_07_fix
TOT7729F,R_Area_25,0.4988457682896461,T01vsT02,AL_07_fix
S029,R_Area_25,0.2896540513832321,T01vsT02,AL_07_fix
S028,R_Area_25,0.6202714866058131,T01vsT02,AL_07_fix
S027,R_Area_25,0.8742726846138872,T01vsT02,AL_07_fix
S025,R_Area_25,0.8583549668521862,T01vsT02,AL_07_fix
S024,R_Area_25,0.9915853960552042,T01vsT02,AL_07_fix
S023,R_Area_25,0.9076752237413314,T01vsT02,AL_07_fix
S022,R_Area_25,0.8379348142820034,T01vsT02,AL_07_fix
S021,R_Area_25,0.5965477250885125,T01vsT02,AL_07_fix
S020,R_Area_25,0.9253516842425957,T01vsT02,AL_07_fix
S018,R_Area_25,0.8694518863093256,T01vsT02,AL_07_fix
S017,R_Area_25,0.2858558435662044,T01vsT02,AL_07_fix
S016,R_Area_25,0.9327624719134187,T01vsT02,AL_07_fix
26CAMINO3920,R_Area_25,0.6169789611477887,T01vsT02,AL_07_fix
