SUBID,TCK,noise,ses
01Caminoreso5503,L_RetroSplenial_Complex,140.301,T01
01Caminoreso5503,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,139.809,T01
01Caminoreso5503,L_Entorhinal_Cortex,140.909,T01
01Caminoreso5503,ctx_lh_G_and_S_cingul-Ant,144.059,T01
01Caminoreso5503,Left-MammillaryBody,159.181,T01
01Caminoreso5503,Left-Basal-nucleus_AND_Left-Lateral-nucleus,144.448,T01
01Caminoreso5503,L_Area_TG_dorsal,188.081,T01
01Caminoreso5503,L_Area_8BM,132.105,T01
01Caminoreso5503,L_Area_9_Middle,132.359,T01
01Caminoreso5503,L_Area_10r,145.635,T01
01Caminoreso5503,L_Area_10v,147.044,T01
01Caminoreso5503,L_Area_25,150.93,T01
01Caminoreso5503,L_Area_p32,142.85,T01
01Caminoreso5503,L_Area_s32,147.529,T01
01Caminoreso5503,L_Area_10d,139.609,T01
01Caminoreso5503,L_Area_posterior_10p,140.316,T01
01Caminoreso5503,L_Area_anterior_10p,142.153,T01
01Caminoreso5503,L_Polar_10p,141.313,T01
01Caminoreso5503,L_Area_11l,141.986,T01
01Caminoreso5503,L_Area_anterior_47r,140.354,T01
01Caminoreso5503,L_Area_47m,139.381,T01
01Caminoreso5503,L_Area_47s,143.764,T01
01Caminoreso5503,L_Area_13l,139.554,T01
01Caminoreso5503,L_Orbital_Frontal_Complex,146.906,T01
01Caminoreso5503,L_posterior_OFC_Complex,157.565,T01
01Caminoreso5503,L_Area_44,136.907,T01
01Caminoreso5503,L_Area_45,135.75,T01
01Caminoreso5503,L_Area_47l,141.274,T01
01Caminoreso5503,L_Area_posterior_47r,137.238,T01
01Caminoreso5503,L_Area__IFSa,135.117,T01
01Caminoreso5503,L_Area_IFSp,133.009,T01
01Caminoreso5503,L_Area_IFJa,136.253,T01
01Caminoreso5503,L_Area_IFJp,138.084,T01
01Caminoreso5503,L_Area_9_anterior,130.546,T01
01Caminoreso5503,L_Area_9_Posterior,127.874,T01
01Caminoreso5503,L_Area_8Ad,126.333,T01
01Caminoreso5503,L_Area_9-46d,130.548,T01
01Caminoreso5503,L_Area_anterior_9-46v,132.005,T01
01Caminoreso5503,L_Area_46,118.352,T01
01Caminoreso5503,L_Area_posterior_9-46v,127.614,T01
01Caminoreso5503,L_Area_8C,130.663,T01
01Caminoreso5503,L_Area_8Av,112.125,T01
01Caminoreso5503,L_Inferior_6-8_Transitional_Area,126.899,T01
01Caminoreso5503,L_Superior_6-8_Transitional_Area,123.087,T01
01Caminoreso5503,L_Superior_Frontal_Language_Area,118.626,T01
01Caminoreso5503,L_Area_8B_Lateral,117.529,T01
01Caminoreso5503,R_RetroSplenial_Complex,140.291,T01
01Caminoreso5503,ctx_rh_G_cingul-Post-dorsal_AND_ctx_rh_G_cingul-Post-ventral,140.11,T01
01Caminoreso5503,R_Entorhinal_Cortex,141.836,T01
01Caminoreso5503,ctx_rh_G_and_S_cingul-Ant,145.642,T01
01Caminoreso5503,Right-MammillaryBody,158.92,T01
01Caminoreso5503,Right-Basal-nucleus_AND_Right-Lateral-nucleus,147.023,T01
01Caminoreso5503,R_Area_TG_dorsal,189.06,T01
01Caminoreso5503,R_Area_8BM,132.992,T01
01Caminoreso5503,R_Area_9_Middle,135.596,T01
01Caminoreso5503,R_Area_10r,146.872,T01
01Caminoreso5503,R_Area_10v,146.319,T01
01Caminoreso5503,R_Area_25,192.699,T01
01Caminoreso5503,R_Area_p32,145.855,T01
01Caminoreso5503,R_Area_s32,145.683,T01
01Caminoreso5503,R_Area_10d,139.948,T01
01Caminoreso5503,R_Area_posterior_10p,143.329,T01
01Caminoreso5503,R_Area_anterior_10p,143.721,T01
01Caminoreso5503,R_Polar_10p,142.652,T01
01Caminoreso5503,R_Area_11l,145.227,T01
01Caminoreso5503,R_Area_anterior_47r,141.67,T01
01Caminoreso5503,R_Area_47m,142.477,T01
01Caminoreso5503,R_Area_47s,145.11,T01
01Caminoreso5503,R_Area_13l,142.323,T01
01Caminoreso5503,R_Orbital_Frontal_Complex,145.721,T01
01Caminoreso5503,R_posterior_OFC_Complex,155.289,T01
01Caminoreso5503,R_Area_44,140.093,T01
01Caminoreso5503,R_Area_45,139.922,T01
01Caminoreso5503,R_Area_47l,143.708,T01
01Caminoreso5503,R_Area_posterior_47r,139.895,T01
01Caminoreso5503,R_Area__IFSa,138.664,T01
01Caminoreso5503,R_Area_IFSp,139.135,T01
01Caminoreso5503,R_Area_IFJa,140.692,T01
01Caminoreso5503,R_Area_IFJp,137.998,T01
01Caminoreso5503,R_Area_9_anterior,134.208,T01
01Caminoreso5503,R_Area_9_Posterior,130.47,T01
01Caminoreso5503,R_Area_8Ad,131.952,T01
01Caminoreso5503,R_Area_9-46d,135.093,T01
01Caminoreso5503,R_Area_anterior_9-46v,137.054,T01
01Caminoreso5503,R_Area_46,129.316,T01
01Caminoreso5503,R_Area_posterior_9-46v,131.862,T01
01Caminoreso5503,R_Area_8C,136.696,T01
01Caminoreso5503,R_Area_8Av,120.489,T01
01Caminoreso5503,R_Inferior_6-8_Transitional_Area,125.192,T01
01Caminoreso5503,R_Superior_6-8_Transitional_Area,123.608,T01
01Caminoreso5503,R_Superior_Frontal_Language_Area,120.819,T01
01Caminoreso5503,R_Area_8B_Lateral,123.223,T01
01ToTfMRI4796,L_RetroSplenial_Complex,163.858,T01
01ToTfMRI4796,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,159.968,T01
01ToTfMRI4796,L_Entorhinal_Cortex,145.747,T01
01ToTfMRI4796,ctx_lh_G_and_S_cingul-Ant,160.235,T01
01ToTfMRI4796,Left-MammillaryBody,267.493,T01
01ToTfMRI4796,Left-Basal-nucleus_AND_Left-Lateral-nucleus,183.496,T01
01ToTfMRI4796,L_Area_TG_dorsal,139.842,T01
01ToTfMRI4796,L_Area_8BM,148.482,T01
01ToTfMRI4796,L_Area_9_Middle,159.62,T01
01ToTfMRI4796,L_Area_10r,178.281,T01
01ToTfMRI4796,L_Area_10v,157.343,T01
01ToTfMRI4796,L_Area_25,172.534,T01
01ToTfMRI4796,L_Area_p32,174.383,T01
01ToTfMRI4796,L_Area_s32,180.537,T01
01ToTfMRI4796,L_Area_10d,162.505,T01
01ToTfMRI4796,L_Area_posterior_10p,159.637,T01
01ToTfMRI4796,L_Area_anterior_10p,160.745,T01
01ToTfMRI4796,L_Polar_10p,162.675,T01
01ToTfMRI4796,L_Area_11l,163.299,T01
01ToTfMRI4796,L_Area_anterior_47r,151.958,T01
01ToTfMRI4796,L_Area_47m,157.144,T01
01ToTfMRI4796,L_Area_47s,156.655,T01
01ToTfMRI4796,L_Area_13l,155.764,T01
01ToTfMRI4796,L_Orbital_Frontal_Complex,144.097,T01
01ToTfMRI4796,L_posterior_OFC_Complex,173.934,T01
01ToTfMRI4796,L_Area_44,159.185,T01
01ToTfMRI4796,L_Area_45,155.929,T01
01ToTfMRI4796,L_Area_47l,156.011,T01
01ToTfMRI4796,L_Area_posterior_47r,155.203,T01
01ToTfMRI4796,L_Area__IFSa,157.1,T01
01ToTfMRI4796,L_Area_IFSp,157.728,T01
01ToTfMRI4796,L_Area_IFJa,155.6,T01
01ToTfMRI4796,L_Area_IFJp,153.054,T01
01ToTfMRI4796,L_Area_9_anterior,155.193,T01
01ToTfMRI4796,L_Area_9_Posterior,150.417,T01
01ToTfMRI4796,L_Area_8Ad,146.631,T01
01ToTfMRI4796,L_Area_9-46d,154.215,T01
01ToTfMRI4796,L_Area_anterior_9-46v,156.537,T01
01ToTfMRI4796,L_Area_46,152.144,T01
01ToTfMRI4796,L_Area_posterior_9-46v,155.625,T01
01ToTfMRI4796,L_Area_8C,150.535,T01
01ToTfMRI4796,L_Area_8Av,144.613,T01
01ToTfMRI4796,L_Inferior_6-8_Transitional_Area,145.105,T01
01ToTfMRI4796,L_Superior_6-8_Transitional_Area,145.719,T01
01ToTfMRI4796,L_Superior_Frontal_Language_Area,143.239,T01
01ToTfMRI4796,L_Area_8B_Lateral,145.495,T01
01ToTfMRI4796,R_RetroSplenial_Complex,158.046,T01
01ToTfMRI4796,ctx_rh_G_cingul-Post-dorsal_AND_ctx_rh_G_cingul-Post-ventral,156.055,T01
01ToTfMRI4796,ctx_rh_G_and_S_cingul-Ant,153.67,T01
01ToTfMRI4796,Right-MammillaryBody,254.621,T01
01ToTfMRI4796,Right-Basal-nucleus_AND_Right-Lateral-nucleus,175.876,T01
01ToTfMRI4796,R_Area_TG_dorsal,130.997,T01
01ToTfMRI4796,R_Area_8BM,144.122,T01
01ToTfMRI4796,R_Area_9_Middle,153.384,T01
01ToTfMRI4796,R_Area_10r,166.544,T01
01ToTfMRI4796,R_Area_10v,153.891,T01
01ToTfMRI4796,R_Area_25,177.676,T01
01ToTfMRI4796,R_Area_p32,166.95,T01
