,,bundle_adjacency_voxels,bundle_adjacency_voxels,bundle_adjacency_voxels,bundle_adjacency_voxels,bundle_adjacency_voxels,bundle_adjacency_voxels,bundle_adjacency_voxels,bundle_adjacency_voxels,dice_voxels,dice_voxels,dice_voxels,dice_voxels,dice_voxels,dice_voxels,dice_voxels,dice_voxels,w_dice_voxels,w_dice_voxels,w_dice_voxels,w_dice_voxels,w_dice_voxels,w_dice_voxels,w_dice_voxels,w_dice_voxels,volume_overlap,volume_overlap,volume_overlap,volume_overlap,volume_overlap,volume_overlap,volume_overlap,volume_overlap,volume_overreach,volume_overreach,volume_overreach,volume_overreach,volume_overreach,volume_overreach,volume_overreach,volume_overreach,dice_voxels_endpoints,dice_voxels_endpoints,dice_voxels_endpoints,dice_voxels_endpoints,dice_voxels_endpoints,dice_voxels_endpoints,dice_voxels_endpoints,dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,w_dice_voxels_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overlap_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,volume_overreach_endpoints,density_correlation,density_correlation,density_correlation,density_correlation,density_correlation,density_correlation,density_correlation,density_correlation,density_correlation_endpoints,density_correlation_endpoints,density_correlation_endpoints,density_correlation_endpoints,density_correlation_endpoints,density_correlation_endpoints,density_correlation_endpoints,density_correlation_endpoints,bundle_adjacency_streamlines,bundle_adjacency_streamlines,bundle_adjacency_streamlines,bundle_adjacency_streamlines,bundle_adjacency_streamlines,bundle_adjacency_streamlines,bundle_adjacency_streamlines,bundle_adjacency_streamlines
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
btw,TCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01vsT02,L_Area_10d,24.0,1.0175346168605748,0.01884462239653527,1.0,1.0063947442370327,1.0113710628653454,1.0230824863442434,1.072037180570696,24.0,0.9114347233115988,0.022650194923368207,0.8554710356933871,0.9026947159297092,0.9188808643418852,0.9243024768145842,0.947188124464744,24.0,0.9970247149467465,0.00265526171387759,0.9886483550071712,0.9970098137855523,0.9981100261211396,0.9984022229909898,0.999219238758087,24.0,14919.482126235962,2307.1988796093115,11921.994735717772,12802.68928527832,14515.150909423828,16688.346256256104,20280.43837738037,24.0,2864.6357049942017,658.8071428450896,1508.5971450805664,2421.910011291504,2874.489154815674,3347.454746246338,4028.362106323242,24.0,0.8812805226595462,0.025768596861918697,0.8096828046744571,0.8707605531295486,0.8907637065786596,0.8960129310344825,0.9210740439381612,24.0,0.988516422609488,0.005752707482835262,0.97335010766983,0.9858247041702266,0.9899217188358305,0.9918468147516253,0.995577216148376,24.0,4567.923427581787,639.4285567837375,3645.096885681152,4050.7871990203857,4648.110122680664,5023.220764160156,5732.669151306152,24.0,1218.4300365447998,248.5523530020524,790.9941787719727,1051.9407119750979,1219.1095848083496,1382.2011680603027,1859.2440490722656,24.0,0.9583316972842639,0.03317259028524315,0.8568067478403271,0.9473042018523601,0.9703843725039605,0.9780046522821618,0.99629138957945,24.0,0.92961897707813,0.03130909039827994,0.8451787816827311,0.9200262593136262,0.9409143718536055,0.9486747220836338,0.9731327510050872,24.0,0.39547322162737397,0.2452092101587843,0.04184566438198,0.26428927481174425,0.2903152778744695,0.5195906907320024,1.081109404563903
T01vsT02,L_Area_10r,24.0,1.0771426695909603,0.1364339922174694,1.0,1.006497247938329,1.021541238314303,1.06104486687232,1.496571225058052,24.0,0.8629060474396405,0.07149003980362562,0.667274384685505,0.8642714735147791,0.875838876697937,0.9034208302767506,0.945127719962157,24.0,0.9823644459247586,0.03484001096905642,0.8649941682815551,0.9915131777524948,0.994357734918594,0.996944576501846,0.999207615852356,24.0,7528.715211868286,1260.5234279137737,5341.249351501465,6368.7263259887695,7750.927494049072,8215.738506317139,9385.920616149902,24.0,2375.700729370117,1246.4570175864092,945.931182861328,1718.577558517456,1961.1762886047363,2552.3832778930664,5952.842788696289,24.0,0.8424496917207117,0.07658405116091595,0.5756358768406961,0.8336954662104361,0.8630569054297865,0.8872974788433954,0.907759882869692,24.0,0.9688963443040844,0.048078067165677196,0.7874205112457271,0.9700498282909394,0.9885205328464506,0.991157487034797,0.9953871369361872,24.0,2315.2209339141846,395.69472123669306,1598.2975158691406,2136.499740600586,2344.441509246826,2515.687671661377,3025.3488693237305,24.0,862.3467464447021,453.8892306706582,472.96559143066406,607.5161476135254,750.2212829589844,937.7766036987305,2585.001594543457,24.0,0.8732121507253429,0.15820823951733873,0.360774074457236,0.8931727265280961,0.9227991233676003,0.9464627342074057,0.99578940126954,24.0,0.8761701987831536,0.11984421655766103,0.428325405555226,0.8614627815470696,0.9108310460337921,0.9456737884959914,0.9769025359110912,24.0,0.7701511081929003,0.5757950008026468,0.151647642254829,0.449388407170772,0.6460849046707146,0.9052568450570103,2.400547862052917
T01vsT02,L_Area_10v,24.0,1.0684932455522418,0.08799125049994012,1.002091987688753,1.0190265642820653,1.0349445557285875,1.0826414356669785,1.3754989993974411,24.0,0.8649823026350602,0.04933886264349353,0.7154639175257731,0.8394292522617323,0.8825646464761451,0.8964427983045977,0.934765924788948,24.0,0.9874448974927263,0.01916003934751022,0.90623652935028,0.9863649010658262,0.993793040513992,0.9967802315950386,0.999046981334686,24.0,9184.77433013916,1871.2654822592665,5659.277938842773,7569.488107681274,9434.848091125488,10393.011142730713,12076.931739807129,24.0,2757.9466276168823,773.9587140527468,1386.2784576416016,2209.890953063965,2739.9385986328125,3127.281108856201,4501.327697753906,24.0,0.8349658498946956,0.05855825517268734,0.6704871060171921,0.8101436589723686,0.8535389981357866,0.8702832510967906,0.9063136456211812,24.0,0.9718770484129583,0.02784194513665699,0.874002993106842,0.9684741497039795,0.9814673364162441,0.9874908030033106,0.994921863079071,24.0,2938.7064657211304,624.7928973342877,1671.6887283325195,2550.344633102417,2943.803077697754,3402.4981555938725,3897.88883972168,24.0,1109.0227661132812,264.1181807536795,701.2938079833984,917.3901557922363,1080.4817390441895,1243.5733222961426,1875.553207397461,24.0,0.9030438290550858,0.09494666991190322,0.502753354373572,0.9000689294638723,0.9207775563492252,0.9419538402172285,0.996790556002376,24.0,0.8794876916793676,0.08956112678298794,0.594821289083524,0.862312243478041,0.9023747297716751,0.934921412066298,0.98240705554199,24.0,0.6915376630301274,0.4508999528346054,0.118127211928367,0.4577899202704423,0.5993936806917186,0.7730517834424968,2.08270800113678
T01vsT02,L_Area_11l,24.0,1.038947809864131,0.04553881872571393,1.002465556918887,1.0092948644793964,1.0226412987269975,1.0387190934788615,1.159704535842895,24.0,0.8881806771889709,0.034073852990969544,0.7891737891737891,0.8789024071329831,0.8981421822619277,0.9094101550623289,0.9296875,24.0,0.9946886499722796,0.0069984415841988605,0.9658150672912592,0.9955929964780806,0.9967238605022426,0.9979755878448484,0.999067783355712,24.0,9205.50055217743,1789.8355307338013,6499.199592590332,8003.7194480896,9332.915851593018,10278.847034454346,12468.351539611816,24.0,2261.196846961975,606.2136553835747,1386.2784576416016,1881.669141769409,2169.1180572509766,2405.6008529663086,3914.197998046875,24.0,0.8489638949822096,0.03819660342824512,0.7782340862422991,0.8344304261627563,0.8563101378457452,0.8771770084658745,0.903716216216216,24.0,0.9806690563758211,0.012975991898367869,0.954127252101898,0.9760226011276241,0.9847100675106042,0.9898832291364665,0.9954452514648432,24.0,3468.414337158203,665.9358321669333,2169.118057250977,2898.9528923034677,3616.5558586120605,3899.927484512329,4501.327697753906,24.0,1199.7424592971802,237.4930830789814,693.1392288208008,1049.9020671844482,1206.8777160644531,1302.6940212249754,1761.3890991210938,24.0,0.9449882059425629,0.046248315010195065,0.821804631188443,0.926350816466747,0.9687490560894132,0.9725854312587994,0.9955693171280452,24.0,0.9170428657607369,0.03779454099820219,0.8183604651083821,0.9028312415598705,0.9233394206158265,0.9452924921601452,0.9739244861823472,24.0,0.4471998930287853,0.2120522346142384,0.118983071297407,0.29365601390600177,0.412984959781169,0.601548336446285,0.9476841986179352
T01vsT02,L_Area_13l,24.0,1.2737393141603635,0.3318022955441384,1.0,1.0794890451917225,1.2256967678526274,1.320980964837109,2.645614287229616,24.0,0.784797855440632,0.11741922292628759,0.311137301119622,0.7595018004974563,0.7981873833723376,0.8517964946445957,0.932486100079428,24.0,0.938319264600674,0.13937323787367,0.294552475214004,0.9521032273769376,0.9676501750946045,0.9858871698379514,0.9990234375,24.0,6825.722533226013,2458.467562797634,2152.808898925781,5361.635799407959,6315.721561431885,8331.941259384155,12125.859214782717,24.0,3698.781198501587,2001.7383827792974,693.1392288208008,2444.3351039886475,3351.5320358276367,4387.163589477539,9532.70304107666,24.0,0.7522356948471094,0.10015847043608177,0.378625954198473,0.7232887732753057,0.7706729047277936,0.8093010012668094,0.888468809073724,24.0,0.9104118297497429,0.12415737338933502,0.363426804542541,0.914367407560348,0.9346264898777006,0.9603669941425318,0.996077299118042,24.0,2440.9373626708984,688.9435719403124,1011.1678161621094,1965.2535781860352,2425.9873008728027,2998.846487045288,3718.4880981445312,24.0,1579.609938621521,627.538638179716,481.1201705932617,1204.8390712738037,1410.7421951293945,1883.7077865600586,3318.913719177246,24.0,0.7827316717446987,0.23301892748426395,0.0,0.7612233045835314,0.863603498690745,0.9260872274443561,0.9973072884320272,24.0,0.7174418550646514,0.21638686516374184,0.0,0.612017066172357,0.8045261399873136,0.8610913144447971,0.9835736591570532,24.0,1.2989066305259858,1.0673772916518867,0.178728498518466,0.5235037803649898,0.853228345513343,1.923565775156021,4.546108245849609
T01vsT02,L_Area_25,24.0,2.223572555249536,1.3923433418787494,1.042400368746175,1.2930774122681292,1.625961334002741,2.5260827033895747,6.155839777832038,24.0,0.5790468437627847,0.2089829912253398,0.067786442711457,0.5254009234151973,0.5874364432445526,0.7213593794203098,0.8665048543689321,24.0,0.760552217562993,0.22608211190316269,0.21332424879074,0.6510172635316847,0.8284952640533441,0.9253533035516734,0.9903491735458372,24.0,4609.375871658325,3361.90373791879,212.01905822753903,2291.4367446899414,3514.62361907959,7159.720504760742,11987.231369018557,24.0,7591.233652114868,6835.00145031901,897.0037078857422,2083.4949760437007,5259.703559875488,10156.52834701538,25344.43203735352,24.0,0.6427879448873219,0.16408818704249886,0.224137931034482,0.5484615384615386,0.6951623771845925,0.7560258290691468,0.8761904761904761,24.0,0.7676161962250864,0.19501099820976478,0.258355915546417,0.6884962320327753,0.8236846029758451,0.911631658673286,0.988188982009887,24.0,1367.9306545257568,556.7813119153002,106.00952911376952,1015.2451057434082,1435.2059326171875,1722.6548480987549,2381.137115478516,24.0,1390.6955213546753,591.7109850118351,424.0381164550781,905.1582870483398,1365.8920097351074,1753.234519958496,2364.8279571533203,24.0,0.531055087284487,0.3267452655187601,0.0,0.2610603941941985,0.6209987486272341,0.8224837432134423,0.976153805492028,24.0,0.4282197771221458,0.2911274228264921,0.0,0.16408758391828926,0.45960016177295,0.6412689941122915,0.9681913310163752,24.0,3.5422407393861146,3.250796006793111,0.566191524267196,1.1042559444904319,2.757564663887024,3.8131898716092105,12.642305374145508
T01vsT02,L_Area_44,24.0,1.296268275408772,0.3335218077159115,1.005037732515348,1.0313753216543744,1.1862617656796246,1.4093124814404718,2.138944273483071,24.0,0.8105920387987039,0.09297620604346196,0.5771571786609381,0.7779500309257825,0.8213585179248251,0.889524802159958,0.9105495387083832,24.0,0.9557704304655389,0.05213694801653492,0.8341063857078551,0.9424109458923335,0.9788256287574766,0.9930464774370188,0.9978869557380672,24.0,11059.308215141296,4009.9142720828368,6238.253059387207,8258.550046920776,9887.427234649658,14144.117557525637,20810.48602294922,24.0,5293.6809730529785,3614.1534083092797,1818.471153259277,2872.4505100250244,4256.690322875977,6737.7210330963135,17605.73641204834,24.0,0.8341623108110453,0.054519936510496934,0.733921815889029,0.7848058902275767,0.8489388264669161,0.8775031871689608,0.914649681528662,24.0,0.9624157076080637,0.03304450439552299,0.866482496261596,0.9365750998258591,0.9716320037841791,0.9907061904668804,0.995543241500854,24.0,2746.0545330047607,424.93886802920235,1818.471153259277,2464.7215518951416,2797.020652770996,2974.382749557495,3522.7781982421875,24.0,1083.5397062301636,358.4976730068926,513.7384872436523,886.8104839324951,1015.2451057434082,1329.1964035034177,1753.234519958496,24.0,0.7910286264493306,0.16203302075634451,0.442861046533256,0.6813538691217407,0.8413139222036972,0.9320770905490553,0.99429526167904,24.0,0.8242847010760572,0.13620337297380467,0.53550860312988,0.7753158818372963,0.8650381491054695,0.9369183311849892,0.977788986931788,24.0,1.099309341050684,0.886437645755224,0.091521866619586,0.39962594956159503,0.8303774893283841,1.5644639283418647,3.975599765777588
T01vsT02,L_Area_45,24.0,1.0463042501166866,0.07462525543401519,1.0,1.0087511038229586,1.0170570385286508,1.039546626992276,1.284976802166829,24.0,0.9044096064030699,0.02942970424253442,0.8255687973997831,0.902028177705183,0.910266393608496,0.9164152061522108,0.9533791109504872,24.0,0.9952265719572698,0.005939185905887664,0.97714364528656,0.9959769695997234,0.9974653720855711,0.9980924427509303,0.9994352459907532,24.0,12331.082790374756,2075.21750918422,8064.878791809082,10733.464822769165,12313.414535522461,13444.862394332888,16782.123916625977,24.0,2633.589295387268,936.6752557834736,1051.9407119750977,2063.108528137207,2515.687671661377,3192.5177421569824,5251.548980712891,24.0,0.8772465339583752,0.03360276028397799,0.7739130434782601,0.8651866222580084,0.882707522984441,0.8961495928420625,0.922928709055876,24.0,0.985269375145435,0.015588136133232958,0.936401069164276,0.9861579984426494,0.989951312541961,0.993431568145752,0.9965944290161132,24.0,3912.1593532562256,752.9572884786778,2299.591323852539,3524.816843032837,3897.8888397216797,4495.211763381958,5088.4573974609375,24.0,1099.509090423584,367.78371822682504,554.5113830566406,864.3853912353516,1076.4044494628906,1261.9211254119873,2120.1905822753906,24.0,0.9508694340681391,0.04473835590773331,0.806515475643064,0.9494704368752457,0.9673905527915616,0.9759648055339194,0.994797946499621,24.0,0.9203919480055062,0.048650221723624945,0.7936650939167451,0.9176038789436269,0.9314592265908045,0.9447530023723882,0.97898372065895,24.0,0.46870233537629197,0.37898233509273765,0.11113291978836,0.22722848877310725,0.351224243640899,0.509746871888637,1.338131308555603
