SUBID,ses,analysis,stats,TCK,tck_mean,tck_std,tck_min,tck_max,tck_count
S038,T02,AL_07,113.841377 8.48332119 82.7108231 149.782394 3665 ,L_RetroSplenial_Complex,113.84137700000001,8.48332119,82.71082309999998,149.78239399999998,3665
S038,T02,AL_07,145.503479 14.0050144 110.84539 193.866592 3037 ,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,145.503479,14.0050144,110.84539,193.866592,3037
S038,T02,AL_07,210.723343 5.38419342 194.930267 217.878082 35 ,L_Entorhinal_Cortex,210.72334300000003,5.38419342,194.930267,217.87808199999998,35
S038,T02,AL_07,64.2098694 5.16080236 50.1363831 81.3220673 2023 ,ctx_lh_G_and_S_cingul-Ant,64.2098694,5.16080236,50.1363831,81.3220673,2023
S038,T02,AL_07,20.1376591 3.93113947 11.5760756 31.5627308 3404 ,Left-MammillaryBody,20.1376591,3.93113947,11.5760756,31.5627308,3404
S038,T02,AL_07,41.3868828 5.06386137 29.2636261 56.7728195 3543 ,Left-Basal-nucleus_AND_Left-Lateral-nucleus,41.386882799999995,5.06386137,29.2636261,56.7728195,3543
S038,T02,AL_07,62.5896835 7.06019211 44.1581764 85.0895538 2724 ,L_Area_TG_dorsal,62.5896835,7.06019211,44.158176399999995,85.08955379999999,2724
S038,T02,AL_07,73.661438 6.68544626 57.329319 95.2544403 3389 ,L_Area_8BM,73.661438,6.68544626,57.32931899999999,95.2544403,3389
S038,T02,AL_07,84.953186 6.07077885 65.5320053 104.658409 3779 ,L_Area_9_Middle,84.953186,6.07077885,65.5320053,104.65840899999999,3779
S038,T02,AL_07,74.2308121 7.42963076 53.148037 95.8614731 2216 ,L_Area_10r,74.2308121,7.42963076,53.148037,95.8614731,2216
S038,T02,AL_07,83.3687439 7.48852825 59.7723389 105.297653 2201 ,L_Area_10v,83.3687439,7.48852825,59.772338899999994,105.297653,2201
S038,T02,AL_07,53.5127869 12.3626194 28.6122303 85.4011841 1347 ,L_Area_25,53.512786899999995,12.3626194,28.6122303,85.4011841,1347
S038,T02,AL_07,68.2057495 5.99623632 51.548111 86.4330826 2716 ,L_Area_p32,68.2057495,5.99623632,51.548111,86.43308259999999,2716
S038,T02,AL_07,58.5301018 4.73820877 46.8617973 73.3912659 1549 ,L_Area_s32,58.53010179999999,4.73820877,46.8617973,73.39126590000001,1549
S038,T02,AL_07,87.9632645 5.00514269 71.3672333 103.551155 3505 ,L_Area_10d,87.96326450000001,5.00514269,71.3672333,103.55115500000001,3505
S038,T02,AL_07,77.9368973 5.83766603 63.332283 97.530365 3891 ,L_Area_posterior_10p,77.9368973,5.83766603,63.332283,97.530365,3891
S038,T02,AL_07,77.0550003 4.50828695 63.4157219 91.5915375 3371 ,L_Area_anterior_10p,77.0550003,4.50828695,63.4157219,91.5915375,3371
