SUBID,TCK,corr,btw
S038,Left-MammillaryBody,0.926513689377649,T01vsT02
S037,Left-MammillaryBody,0.0834985763292888,T01vsT02
S036,Left-MammillaryBody,0.2847851352075252,T01vsT02
S035,Left-MammillaryBody,0.8280850111738179,T01vsT02
S034,Left-MammillaryBody,0.4773989774090195,T01vsT02
S033,Left-MammillaryBody,0.5247965388246968,T01vsT02
S032,Left-MammillaryBody,0.7885708986407516,T01vsT02
S031,Left-MammillaryBody,0.778178085413325,T01vsT02
TOT7729F,Left-MammillaryBody,0.8146574501799092,T01vsT02
S029,Left-MammillaryBody,0.6325463775749397,T01vsT02
S028,Left-MammillaryBody,0.7583843976388442,T01vsT02
S027,Left-MammillaryBody,0.3171056703761427,T01vsT02
S025,Left-MammillaryBody,0.7953172513594986,T01vsT02
S024,Left-MammillaryBody,0.1735166635834482,T01vsT02
S023,Left-MammillaryBody,0.989418716333755,T01vsT02
S022,Left-MammillaryBody,0.2447188666848199,T01vsT02
S021,Left-MammillaryBody,0.0851977210593413,T01vsT02
S020,Left-MammillaryBody,0.6304102930429369,T01vsT02
S018,Left-MammillaryBody,0.7519804818264182,T01vsT02
S017,Left-MammillaryBody,0.1827755813254032,T01vsT02
S016,Left-MammillaryBody,0.1194460729371867,T01vsT02
26CAMINO3920,Left-MammillaryBody,-0.4312126110970553,T01vsT02
41TPEF4693,Left-MammillaryBody,0.781749724995079,T01vsT02
07CAMINO6124,Left-MammillaryBody,0.8977663918545706,T01vsT02
S038,L_Area_25,0.829850988142156,T01vsT02
S037,L_Area_25,0.7822606007490521,T01vsT02
S036,L_Area_25,0.0798737721165021,T01vsT02
S035,L_Area_25,0.3865919909253287,T01vsT02
S034,L_Area_25,0.1768106837766037,T01vsT02
S033,L_Area_25,0.3957489884204416,T01vsT02
S032,L_Area_25,0.3664809450069221,T01vsT02
S031,L_Area_25,0.4325615655013649,T01vsT02
TOT7729F,L_Area_25,0.6029036248631329,T01vsT02
S029,L_Area_25,0.9164570340251884,T01vsT02
S028,L_Area_25,0.5204713031643243,T01vsT02
S027,L_Area_25,0.8248647724331266,T01vsT02
S025,L_Area_25,0.8897652976577634,T01vsT02
S024,L_Area_25,0.7444266871901583,T01vsT02
