roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roiexc1,extroiexc1,roiexc2,extroiexc2,dilroi1,dilroi2,dilroi3,dilroi4,dilroiexc1,dilroiexc2,evaluation,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
Left-AV,.nii.gz,L_RetroSplenial_Complex,.nii.gz,CGC_roi2_L,.nii.gz,NO,.nii.gz,Left-MDl_AND_Left-MDm,.nii.gz,NO,.nii.gz,1,1,1,0,0,0,0,1,HAL1,1,L,AL1,L,AL,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-AV,.nii.gz,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,.nii.gz,CGC_roi2_L,.nii.gz,NO,.nii.gz,Left-MDl_AND_Left-MDm,.nii.gz,NO,.nii.gz,1,1,1,0,0,0,0,1,HAL2,2,L,AL2,L,AL,0,0,200,20,45,iFoD2,5000,0.05,4,4,100,median,3
Left-AV,.nii.gz,L_Entorhinal_Cortex,.nii.gz,CGC_roi2_L,.nii.gz,CGC_roi1_L,.nii.gz,Left-MDl_AND_Left-MDm,.nii.gz,L_Perirhinal_Ectorhinal_Cortex,.nii.gz,1,1,0,0,0,0,0,1,HAL3,3,L,AL3,L,AL,0,0,220,100,45,iFoD2,5000,0.05,4,4,100,median,3
Left-AV,.nii.gz,ctx_lh_G_and_S_cingul-Ant,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-MDl_AND_Left-MDm,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,1,1,0,0,0,0,0,1,HAL4,4,L,AL4,L,AL,0,0,120,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-AV,.nii.gz,Left-MammillaryBody,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-MDl_AND_Left-MDm,.nii.gz,NO,.nii.gz,1,1,0,0,0,0,0,1,HAL5,5,L,AL5,L,AL,0,0,60,10,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,Left-Basal-nucleus_AND_Left-Lateral-nucleus,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL6,6,L,AL6,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_TG_dorsal,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL7,7,L,AL7,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_8BM,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL8,8,L,AL8,L,AL,0,0,180,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_9_Middle,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL9,9,L,AL9,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_10r,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL10,10,L,AL10,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
